Specific Service component (colloquial name),top level service,type name CF,cf_property_desc,Pattern in CF registry?,Regex from registry,registry explanation,Our own regex,Alternative regex,URL documentation,Rule in plain English,Validation error text,URL AWS console,Regex copied from external page:,Is tag?,Inserted by,can be deleted?
SageMaker Model Package,,AWS::SageMaker::ModelPackage,ModelPackageName,,"^[a-zA-Z0-9](-*[a-zA-Z0-9]){0,62}$",,,,,"The model package name must be unique in your account and in the AWS Region and can have up to 63 characters. Valid characters: a-z, A-Z, 0-9, and - (hyphen)",,,,,daniel,
SageMaker Model,,AWS::SageMaker::Model,ModelName,,^[a-zA-Z0-9](-*[a-zA-Z0-9])*,,,,,"Maximum of 63 alphanumeric characters. Can include hyphens (-), but not spaces. Must be unique within your account in an AWS Region.",,,,,daniel,
SageMaker Endpoint Configuration,,AWS::SageMaker::EndpointConfig,EndpointConfigName,,"^[a-zA-Z0-9](-*[a-zA-Z0-9]){0,62}",,,,,"Maximum of 63 alphanumeric characters. Can include hyphens (-), but not spaces. Must be unique within your account in an AWS Region.",,,,,daniel,
SageMaker Batch Job,,-,-,,-,,,,,"Maximum of 63 alphanumeric characters. Can include hyphens (-), but not spaces. Must be unique within your account in the same AWS Region.",,,,,daniel,
SageMaker Human Review Workflow,,-,-,,-,,,,,"The name must be lowercase, unique within the Region in your account, and can have up to 63 characters. Valid characters: a-z, 0-9, and - (hyphen)",,,,,daniel,
SageMaker Worker Task Template,,-,-,,-,,,,,"The name must be lowercase, unique within the Region in your account, and can have up to 63 characters. Valid characters: a-z, 0-9, and - (hyphen)",,,,,daniel,
Transcribe Job,,-,-,,-,,,,,"The name can be up to 200 characters long. Valid characters are a-z, A-Z, 0-9, . (period), _ (underscore), and – (hyphen).",,,,,daniel,
Transcribe Vocabulary,,-,-,,-,,,,,"The name can be up to 200 characters long. Valid characters are a-z, A-Z, and 0-9.",,,,,daniel,
Transcribe Vocabulary Filter,,-,-,,-,,,,,"The name can be up to 200 characters long. Valid characters are a-z, A-Z, 0-9 and - (hyphen).",,,,,daniel,
Transcribe Category,,-,-,,-,,,,,"The name can be up to 200 characters long. Valid characters are a-z, A-Z, 0-9, ., _ , and – (hyphen).",,,,,daniel,
Translate Job,,-,-,,-,,,,,"The name must have 2 to 256 characters. Valid characters: a-z, A-Z, 0-9, and . : + = @ _ % - (hyphen)",,,,,daniel,
Translate Terminology,,-,-,,-,,,,,"The name can be up to 256 characters long. Valid characters are _, -, a-z, A-Z, and 0-9.",,,,,daniel,
Translate Parallel data,,-,-,,-,,,,,"The name can be up to 256 characters long. Valid characters are _,-,a-z,A-Z and 0-9.",,,,,daniel,
CloudTrail Trail,,AWS::CloudTrail::Trail,TrailName,,,"Contain only ASCII letters (a-z, A-Z), numbers (0-9), periods (.), underscores (_), or dashes (-)
Start with a letter or number, and end with a letter or number
Be between 3 and 128 characters
Have no adjacent periods, underscores or dashes. Names like my-_namespace and my--namespace are not valid.
Not be in IP address format (for example, 192.168.5.4)",,,,"3-128 characters. Only letters, numbers, periods, underscores, and dashes are allowed.",,,,,daniel,
License Manager Self-Managed Licenses,,-,-,,-,,,,,"The name can be up to 100 characters. Valid characters: a-z, A-Z and 0-9",,,,,daniel,
License Manager Host Resource Group,,-,-,,-,,,,,"The name can be up to 128 characters and must start with a letter. Valid characters: a-z, A-Z, 0-9, _ (underscore), and - (hyphen).",,,,,,
AWS Proton,,-,-,,-,,,,,"Only use letters, numbers or hyphens. The maximum length is 100 characters.",,,,,daniel,
Amazon IVS Video Create Channel,,AWS::IVS::Channel,Name,,^[a-zA-Z0-9-_]*$,,,,,"Maximum length: 128 characters. May include numbers, letters, underscores (_) and hyphens (-).",,,,,daniel,
Elemental MediaConnect Flow,,-,-,,-,,,,,"The flow name can have up to 64 characters. Valid characters: A-Z, a-z, and 0-9",,,,,daniel,
Elemental MediaStore Container,,-,-,,-,,,,,"The container name is case sensitive, must be unique within this account for the current AWS Region, and can be up to 255 characters long. Valid characters: a-z, A-Z, 0-9, - (hyphen) and _ (underscore).",,,,,daniel,
DMS Replication Instance,,AWS::DMS::ReplicationInstance,ReplicationInstanceIdentifier,,,,,,,"The name must be unique among all of your replication instances in the current AWS region. 
Replication instance name must not start with a numeric value",,,,,daniel,
DMS Data Collector,,-,-,,-,,,,,"Can have only Unicode letters, digits, white space, or one of the symbols in parentheses: (_.:/=+-@()). Maximum of 60 characters.",,,,,daniel,
DMS Migration project,,-,-,,-,,,,,"Should begin with a letter; should contain only ASCII letters, digits, and hyphens; and shouldn’t end with a hyphen or contain two consecutive hyphens.",,,,,daniel,
